èâä˙à íu	ç≈èIà íu	îΩéÀâÒêî
2.50,1.25	9.92,5.07	5
2.50,1.25	3.18,-0.01	5
2.50,1.25	0.81,-0.03	5
2.50,1.25	7.58,-0.08	5
2.50,1.25	1.11,5.04	5
2.50,1.25	8.88,-0.03	5
2.50,1.25	9.29,-0.03	5
2.50,1.25	2.37,-0.01	5
2.50,1.25	-0.03,3.25	5
2.50,1.25	6.22,-0.03	5
2.50,1.25	-0.07,4.58	5
2.50,1.25	8.91,-0.03	5
2.50,1.25	4.24,-0.02	5
2.50,1.25	7.64,5.05	5
2.50,1.25	10.10,2.44	5
2.50,1.25	5.85,-0.00	5
2.50,1.25	3.47,5.00	5
2.50,1.25	7.58,-0.02	5
2.50,1.25	9.27,-0.09	5
2.50,1.25	3.34,-0.03	5
2.50,1.25	3.11,-0.00	5
2.50,1.25	-0.08,4.09	5
2.50,1.25	9.52,5.02	5
2.50,1.25	7.80,-0.03	5
2.50,1.25	10.01,3.72	5
2.50,1.25	1.90,-0.01	5
2.50,1.25	-0.06,1.69	5
2.50,1.25	7.38,5.02	5
2.50,1.25	6.99,5.06	5
2.50,1.25	-0.06,1.25	5
2.50,1.25	6.66,5.04	5
2.50,1.25	4.35,-0.05	5
2.50,1.25	9.83,-0.05	5
2.50,1.25	7.67,-0.01	5
2.50,1.25	10.04,2.02	5
2.50,1.25	6.30,5.07	5
2.50,1.25	2.15,-0.02	5
2.50,1.25	1.41,5.00	5
2.50,1.25	5.62,-0.02	5
2.50,1.25	7.15,-0.07	5
2.50,1.25	-0.00,0.26	5
2.50,1.25	9.47,-0.02	5
2.50,1.25	2.56,5.08	5
2.50,1.25	7.80,5.04	5
2.50,1.25	10.10,2.26	5
2.50,1.25	4.89,-0.06	5
2.50,1.25	10.04,5.06	6
2.50,1.25	10.00,3.81	5
2.50,1.25	7.34,-0.07	5
2.50,1.25	9.83,5.06	5
2.50,1.25	1.77,5.06	5
2.50,1.25	7.67,5.02	5
2.50,1.25	8.40,5.00	5
2.50,1.25	7.54,-0.01	5
2.50,1.25	5.19,-0.05	5
2.50,1.25	8.60,-0.05	5
2.50,1.25	0.07,-0.04	5
2.50,1.25	9.79,-0.00	5
2.50,1.25	2.09,5.00	5
2.50,1.25	10.02,0.50	5
2.50,1.25	7.38,5.01	5
2.50,1.25	10.03,3.38	5
2.50,1.25	-0.01,2.46	5
2.50,1.25	10.07,2.79	5
2.50,1.25	4.39,5.04	5
2.50,1.25	10.01,3.59	5
2.50,1.25	10.09,4.43	5
2.50,1.25	-0.05,4.49	5
2.50,1.25	3.41,5.06	5
2.50,1.25	10.06,0.52	5
2.50,1.25	6.74,-0.02	5
2.50,1.25	3.15,5.03	5
2.50,1.25	3.31,5.05	5
2.50,1.25	9.78,-0.01	5
2.50,1.25	1.81,-0.02	5
2.50,1.25	-0.06,2.41	5
2.50,1.25	-0.02,2.86	5
2.50,1.25	10.03,0.01	5
2.50,1.25	7.40,5.04	5
2.50,1.25	0.24,5.03	5
2.50,1.25	4.83,-0.04	5
2.50,1.25	6.40,-0.04	5
2.50,1.25	6.86,-0.01	5
2.50,1.25	0.99,5.05	5
2.50,1.25	-0.07,3.07	5
2.50,1.25	7.06,5.03	5
2.50,1.25	0.60,-0.04	5
2.50,1.25	10.01,3.10	5
2.50,1.25	-0.05,4.24	5
2.50,1.25	0.07,5.04	5
2.50,1.25	0.06,-0.04	5
2.50,1.25	9.62,-0.01	5
2.50,1.25	10.06,4.80	5
2.50,1.25	6.48,5.00	5
2.50,1.25	10.01,1.63	5
2.50,1.25	0.09,5.01	5
2.50,1.25	0.41,-0.00	5
2.50,1.25	10.09,3.24	5
2.50,1.25	4.15,-0.07	5
2.50,1.25	4.23,-0.06	5
2.50,1.25	6.23,-0.04	5
2.50,1.25	10.01,0.92	5
2.50,1.25	6.04,5.03	5
2.50,1.25	9.29,-0.01	5
2.50,1.25	3.41,5.05	5
2.50,1.25	-0.01,2.46	5
2.50,1.25	10.02,1.66	5
2.50,1.25	9.61,5.03	5
2.50,1.25	8.39,5.00	5
2.50,1.25	4.72,-0.01	5
2.50,1.25	7.23,-0.09	5
2.50,1.25	0.17,5.03	5
2.50,1.25	6.35,5.00	5
2.50,1.25	3.99,-0.07	5
2.50,1.25	8.15,-0.01	5
2.50,1.25	2.36,5.05	5
2.50,1.25	9.80,-0.00	5
2.50,1.25	8.85,-0.03	5
2.50,1.25	6.62,5.10	5
2.50,1.25	-0.10,0.12	5
2.50,1.25	-0.05,1.55	5
2.50,1.25	10.08,2.99	5
2.50,1.25	7.87,5.01	5
2.50,1.25	-0.05,3.48	5
2.50,1.25	10.03,1.89	5
2.50,1.25	7.81,-0.03	5
2.50,1.25	-0.07,0.75	5
2.50,1.25	5.80,-0.03	5
2.50,1.25	8.39,5.01	5
2.50,1.25	3.59,5.02	5
2.50,1.25	4.57,5.04	5
2.50,1.25	4.80,5.03	5
2.50,1.25	-0.09,0.64	5
2.50,1.25	-0.01,0.04	5
2.50,1.25	0.46,-0.04	5
2.50,1.25	5.41,5.03	5
2.50,1.25	10.04,1.83	5
2.50,1.25	3.11,5.05	5
2.50,1.25	10.05,1.00	5
2.50,1.25	10.09,0.74	5
2.50,1.25	2.74,5.07	5
2.50,1.25	3.34,-0.03	5
2.50,1.25	10.09,3.96	5
2.50,1.25	4.07,-0.05	5
2.50,1.25	9.06,-0.03	5
2.50,1.25	-0.06,1.17	5
2.50,1.25	5.97,-0.03	5
2.50,1.25	2.01,-0.01	5
2.50,1.25	7.42,-0.08	5
2.50,1.25	10.08,4.48	5
2.50,1.25	1.53,5.00	5
2.50,1.25	10.09,3.24	5
2.50,1.25	9.78,5.00	5
2.50,1.25	2.87,-0.01	5
2.50,1.25	6.58,-0.02	5
2.50,1.25	3.20,5.01	5
2.50,1.25	8.83,5.04	5
2.50,1.25	8.14,-0.01	5
2.50,1.25	9.50,5.01	5
2.50,1.25	2.60,5.00	5
2.50,1.25	4.02,-0.05	5
2.50,1.25	10.01,4.20	5
2.50,1.25	8.95,5.00	5
2.50,1.25	8.38,5.01	5
2.50,1.25	3.24,5.05	5
2.50,1.25	10.03,3.13	5
2.50,1.25	10.02,4.04	5
2.50,1.25	10.08,1.07	5
2.50,1.25	-0.05,1.50	5
2.50,1.25	0.54,5.04	5
2.50,1.25	-0.10,2.76	5
2.50,1.25	-0.09,4.01	5
2.50,1.25	7.72,-0.09	5
2.50,1.25	1.59,-0.02	5
2.50,1.25	5.88,-0.05	5
2.50,1.25	0.54,-0.02	5
2.50,1.25	3.07,5.00	5
2.50,1.25	-0.08,3.02	5
2.50,1.25	10.03,4.01	5
2.50,1.25	0.43,5.01	5
2.50,1.25	1.53,-0.03	5
2.50,1.25	-0.02,4.08	5
2.50,1.25	0.99,5.04	5
2.50,1.25	-0.10,0.24	5
2.50,1.25	8.96,-0.03	5
2.50,1.25	1.81,5.00	5
2.50,1.25	-0.10,0.61	5
2.50,1.25	1.31,5.02	5
2.50,1.25	-0.01,2.87	5
2.50,1.25	10.05,2.05	5
2.50,1.25	1.27,-0.04	5
2.50,1.25	-0.00,1.74	5
2.50,1.25	4.08,5.06	5
2.50,1.25	10.01,0.36	5
2.50,1.25	9.50,-0.02	5
2.50,1.25	-0.10,3.44	5
2.50,1.25	3.79,-0.05	5
2.50,1.25	5.39,-0.01	5
2.50,1.25	9.20,5.00	5
2.50,1.25	0.67,5.06	5
2.50,1.25	7.55,-0.00	5
2.50,1.25	3.82,5.04	5
2.50,1.25	0.71,-0.02	5
2.50,1.25	8.96,-0.03	5
2.50,1.25	8.99,5.03	5
2.50,1.25	-0.06,1.82	5
2.50,1.25	5.18,-0.04	5
2.50,1.25	-0.04,3.07	5
2.50,1.25	8.89,5.07	5
2.50,1.25	5.32,5.01	5
2.50,1.25	3.89,-0.05	5
2.50,1.25	0.12,5.05	5
2.50,1.25	10.04,1.91	5
2.50,1.25	-0.10,1.32	5
2.50,1.25	-0.10,1.54	5
2.50,1.25	10.03,4.95	5
2.50,1.25	7.83,5.01	5
2.50,1.25	-0.08,3.59	5
2.50,1.25	7.78,5.06	5
2.50,1.25	8.38,5.02	5
2.50,1.25	1.34,5.05	5
2.50,1.25	4.71,-0.08	5
2.50,1.25	10.06,1.71	5
2.50,1.25	10.09,0.55	5
2.50,1.25	-0.03,0.08	5
2.50,1.25	10.03,0.00	5
2.50,1.25	-0.05,3.48	5
2.50,1.25	6.31,5.01	5
2.50,1.25	7.72,5.03	5
2.50,1.25	-0.09,4.91	5
2.50,1.25	-0.04,0.83	5
2.50,1.25	1.64,5.03	5
2.50,1.25	5.73,5.02	5
2.50,1.25	10.01,1.32	5
2.50,1.25	4.62,5.01	5
2.50,1.25	3.83,-0.01	5
2.50,1.25	8.38,5.01	5
2.50,1.25	-0.02,2.52	5
2.50,1.25	-0.04,1.67	5
2.50,1.25	10.10,2.35	5
2.50,1.25	0.27,-0.00	5
2.50,1.25	2.94,5.05	5
2.50,1.25	-0.01,3.33	5
2.50,1.25	0.46,-0.04	5
2.50,1.25	9.86,5.01	5
2.50,1.25	5.98,5.01	5
2.50,1.25	7.38,5.02	5
2.50,1.25	6.22,5.00	5
2.50,1.25	-0.02,2.15	5
2.50,1.25	4.00,5.07	5
2.50,1.25	7.85,5.04	5
2.50,1.25	4.07,5.06	5
2.50,1.25	10.01,3.55	5
2.50,1.25	1.43,5.05	5
2.50,1.25	6.68,-0.06	5
2.50,1.25	3.09,5.05	5
2.50,1.25	-0.01,4.62	5
2.50,1.25	10.02,2.26	5
2.50,1.25	8.36,-0.00	5
2.50,1.25	10.10,2.49	5
2.50,1.25	10.01,2.57	5
2.50,1.25	5.09,-0.00	5
2.50,1.25	7.25,-0.09	5
2.50,1.25	2.09,5.00	5
2.50,1.25	10.06,0.46	5
2.50,1.25	0.79,5.04	5
2.50,1.25	-0.06,5.01	6
2.50,1.25	10.06,2.82	5
2.50,1.25	6.73,-0.01	5
2.50,1.25	-0.01,3.91	5
2.50,1.25	-0.08,0.94	5
2.50,1.25	8.19,-0.01	5
2.50,1.25	10.02,2.67	5
2.50,1.25	1.77,5.05	5
2.50,1.25	-0.09,4.39	5
2.50,1.25	-0.00,4.63	5
2.50,1.25	10.04,1.52	5
2.50,1.25	-0.01,2.22	5
2.50,1.25	6.51,5.02	5
2.50,1.25	4.93,-0.04	5
2.50,1.25	-0.06,5.00	6
2.50,1.25	5.83,-0.01	5
2.50,1.25	-0.01,1.95	5
2.50,1.25	-0.06,3.75	5
2.50,1.25	10.09,4.65	5
2.50,1.25	1.06,5.04	5
2.50,1.25	0.76,5.04	5
2.50,1.25	10.01,5.01	6
2.50,1.25	10.03,3.90	5
2.50,1.25	6.26,5.06	5
2.50,1.25	2.74,-0.00	5
2.50,1.25	10.06,4.70	5
2.50,1.25	0.95,5.02	5
2.50,1.25	6.62,5.01	5
2.50,1.25	10.05,0.35	5
2.50,1.25	7.74,5.07	5
2.50,1.25	10.08,2.70	5
2.50,1.25	0.93,5.04	5
2.50,1.25	4.62,5.01	5
2.50,1.25	-0.02,3.52	5
2.50,1.25	-0.06,1.62	5
2.50,1.25	10.01,1.11	5
2.50,1.25	7.39,5.01	5
2.50,1.25	8.62,-0.04	5
2.50,1.25	-0.10,3.72	5
2.50,1.25	0.54,-0.02	5
2.50,1.25	3.94,5.04	5
2.50,1.25	5.15,5.02	5
2.50,1.25	-0.01,0.28	5
2.50,1.25	0.32,5.10	5
2.50,1.25	7.94,-0.06	5
2.50,1.25	-0.03,3.24	5
2.50,1.25	9.89,-0.01	5
2.50,1.25	10.03,0.01	5
2.50,1.25	9.41,5.00	5
2.50,1.25	6.14,-0.03	5
2.50,1.25	10.01,4.81	5
2.50,1.25	3.38,5.01	5
2.50,1.25	3.84,-0.05	5
2.50,1.25	2.09,5.00	5
2.50,1.25	-0.07,1.85	5
2.50,1.25	0.68,-0.03	5
2.50,1.25	9.35,-0.09	5
2.50,1.25	9.29,-0.03	5
2.50,1.25	10.06,2.10	5
2.50,1.25	0.81,5.01	5
2.50,1.25	9.02,-0.03	5
2.50,1.25	-0.01,4.32	5
2.50,1.25	2.83,5.02	5
2.50,1.25	10.09,3.17	5
2.50,1.25	10.04,3.00	5
2.50,1.25	-0.02,0.16	5
2.50,1.25	10.03,2.52	5
2.50,1.25	-0.07,1.85	5
2.50,1.25	5.26,-0.01	5
2.50,1.25	10.03,3.82	5
2.50,1.25	-0.06,3.75	5
2.50,1.25	4.69,5.03	5
2.50,1.25	10.09,3.10	5
2.50,1.25	2.09,-0.05	5
2.50,1.25	4.25,5.02	5
2.50,1.25	3.47,5.01	5
2.50,1.25	3.53,5.07	5
2.50,1.25	5.97,5.00	5
2.50,1.25	10.10,1.64	5
2.50,1.25	6.40,-0.03	5
2.50,1.25	10.03,1.91	5
2.50,1.25	5.20,-0.00	5
2.50,1.25	10.01,3.47	5
2.50,1.25	3.53,5.01	5
2.50,1.25	6.53,-0.03	5
2.50,1.25	8.63,5.04	5
2.50,1.25	8.34,-0.01	5
2.50,1.25	-0.07,1.56	5
2.50,1.25	-0.02,4.15	5
2.50,1.25	1.26,5.05	5
2.50,1.25	4.18,5.03	5
2.50,1.25	2.07,-0.05	5
2.50,1.25	-0.09,1.42	5
2.50,1.25	8.70,5.05	5
2.50,1.25	10.03,4.80	5
2.50,1.25	-0.06,4.89	5
2.50,1.25	2.15,-0.00	5
2.50,1.25	9.99,5.08	5
2.50,1.25	6.80,-0.03	5
2.50,1.25	1.74,-0.02	5
2.50,1.25	7.36,5.04	5
2.50,1.25	3.24,-0.09	5
2.50,1.25	2.75,5.01	5
2.50,1.25	8.00,5.06	5
2.50,1.25	-0.00,0.26	5
2.50,1.25	8.35,5.04	5
2.50,1.25	6.47,-0.05	5
2.50,1.25	6.38,-0.05	5
2.50,1.25	10.04,3.93	5
2.50,1.25	5.20,-0.05	5
2.50,1.25	2.90,5.00	5
2.50,1.25	2.97,-0.00	5
2.50,1.25	2.10,-0.05	5
2.50,1.25	-0.06,3.17	5
2.50,1.25	7.17,-0.02	5
2.50,1.25	-0.08,3.27	5
2.50,1.25	1.49,-0.02	5
2.50,1.25	1.56,-0.02	5
2.50,1.25	7.52,5.00	5
2.50,1.25	3.29,-0.04	5
2.50,1.25	5.53,5.01	5
2.50,1.25	1.13,-0.04	5
2.50,1.25	10.04,4.81	5
2.50,1.25	-0.02,2.15	5
2.50,1.25	10.07,4.45	5
2.50,1.25	3.46,5.01	5
2.50,1.25	-0.09,4.59	5
2.50,1.25	4.55,5.02	5
2.50,1.25	10.01,2.33	5
2.50,1.25	8.89,5.02	5
2.50,1.25	7.78,5.04	5
2.50,1.25	6.30,5.05	5
2.50,1.25	6.61,5.02	5
2.50,1.25	5.61,-0.04	5
2.50,1.25	6.41,5.00	5
2.50,1.25	6.92,5.08	5
2.50,1.25	6.43,-0.02	5
2.50,1.25	10.05,2.60	5
2.50,1.25	5.20,-0.05	5
2.50,1.25	-0.09,2.07	5
2.50,1.25	10.07,2.57	5
2.50,1.25	0.46,5.04	5
2.50,1.25	5.63,5.01	5
2.50,1.25	10.05,3.78	5
2.50,1.25	2.50,-0.02	5
2.50,1.25	-0.07,4.85	5
2.50,1.25	10.03,4.71	5
2.50,1.25	-0.03,1.11	5
2.50,1.25	5.89,-0.04	5
2.50,1.25	4.19,5.00	5
2.50,1.25	-0.10,2.70	5
2.50,1.25	4.03,5.04	5
2.50,1.25	2.70,5.05	5
2.50,1.25	2.17,5.04	5
2.50,1.25	8.83,5.05	5
2.50,1.25	7.04,5.08	5
2.50,1.25	-0.00,5.00	5
2.50,1.25	6.42,-0.02	5
2.50,1.25	-0.02,2.36	5
2.50,1.25	3.47,5.00	5
2.50,1.25	3.36,5.05	5
2.50,1.25	9.07,5.01	5
2.50,1.25	-0.01,2.22	5
2.50,1.25	-0.01,4.10	5
2.50,1.25	10.04,0.42	5
2.50,1.25	10.07,0.73	5
2.50,1.25	3.16,5.01	5
2.50,1.25	5.99,-0.03	5
2.50,1.25	4.66,5.01	5
2.50,1.25	4.28,-0.04	5
2.50,1.25	0.10,-0.04	5
2.50,1.25	1.97,-0.01	5
2.50,1.25	8.07,-0.05	5
2.50,1.25	2.55,5.05	5
2.50,1.25	1.95,5.03	5
2.50,1.25	8.48,5.03	5
2.50,1.25	9.54,-0.01	5
2.50,1.25	7.16,5.04	5
2.50,1.25	3.78,-0.04	5
2.50,1.25	4.60,5.01	5
2.50,1.25	0.43,5.09	5
2.50,1.25	3.30,5.00	5
2.50,1.25	-0.08,3.10	5
2.50,1.25	-0.00,1.05	5
2.50,1.25	4.61,5.02	5
2.50,1.25	3.30,5.02	5
2.50,1.25	10.08,2.77	5
2.50,1.25	0.97,-0.03	5
2.50,1.25	7.42,-0.08	5
2.50,1.25	2.85,-0.01	5
2.50,1.25	10.07,2.62	5
2.50,1.25	1.93,-0.07	5
2.50,1.25	10.04,2.83	5
2.50,1.25	8.95,-0.02	5
2.50,1.25	9.08,5.01	5
2.50,1.25	0.15,-0.04	5
2.50,1.25	10.01,0.36	5
2.50,1.25	10.09,1.56	5
2.50,1.25	10.00,3.82	5
2.50,1.25	9.57,-0.01	5
2.50,1.25	-0.07,4.14	5
2.50,1.25	-0.06,3.27	5
2.50,1.25	0.86,5.01	5
2.50,1.25	0.11,5.01	5
2.50,1.25	-0.01,1.25	5
2.50,1.25	-0.00,4.98	5
2.50,1.25	3.31,-0.09	5
2.50,1.25	9.00,5.03	5
2.50,1.25	5.70,5.07	5
2.50,1.25	1.56,-0.02	5
2.50,1.25	10.00,1.27	5
2.50,1.25	1.42,-0.02	5
2.50,1.25	7.50,5.01	5
2.50,1.25	5.65,-0.01	5
2.50,1.25	7.10,5.08	5
2.50,1.25	1.30,5.05	5
2.50,1.25	10.07,1.91	5
2.50,1.25	8.84,5.06	5
2.50,1.25	7.72,5.06	5
2.50,1.25	-0.03,2.82	5
2.50,1.25	6.23,-0.04	5
2.50,1.25	10.04,4.68	5
2.50,1.25	-0.10,2.25	5
2.50,1.25	0.17,-0.01	5
2.50,1.25	0.07,5.03	5
2.50,1.25	-0.08,2.98	5
2.50,1.25	5.28,-0.01	5
2.50,1.25	7.56,-0.08	5
2.50,1.25	3.16,5.00	5
2.50,1.25	-0.07,4.84	5
2.50,1.25	4.19,-0.05	5
2.50,1.25	8.30,5.00	5
2.50,1.25	1.10,5.04	5
2.50,1.25	10.00,2.36	5
2.50,1.25	1.13,-0.04	5
2.50,1.25	8.58,-0.02	5
2.50,1.25	7.36,5.02	5
2.50,1.25	7.85,5.05	5
2.50,1.25	-0.02,2.71	5
2.50,1.25	4.52,5.02	5
2.50,1.25	-0.10,2.18	5
2.50,1.25	4.87,5.08	5
2.50,1.25	5.46,-0.03	5
2.50,1.25	0.41,-0.01	5
2.50,1.25	10.07,0.73	5
2.50,1.25	8.88,5.01	5
2.50,1.25	10.00,0.16	5
2.50,1.25	5.43,5.01	5
2.50,1.25	5.59,5.00	5
2.50,1.25	10.05,3.31	5
2.50,1.25	10.02,4.90	5
2.50,1.25	10.03,3.93	5
2.50,1.25	4.96,5.08	5
2.50,1.25	6.15,-0.02	5
2.50,1.25	-0.02,4.06	5
2.50,1.25	3.10,-0.02	5
2.50,1.25	3.47,-0.02	5
2.50,1.25	-0.01,4.63	5
2.50,1.25	-0.08,3.39	5
2.50,1.25	7.79,-0.07	5
2.50,1.25	6.54,-0.00	5
2.50,1.25	-0.01,1.31	5
2.50,1.25	0.30,-0.04	5
2.50,1.25	3.37,5.02	5
2.50,1.25	4.42,-0.04	5
2.50,1.25	-0.07,4.57	5
2.50,1.25	4.30,-0.05	5
2.50,1.25	-0.07,1.41	5
2.50,1.25	10.02,3.65	5
2.50,1.25	-0.01,1.31	5
2.50,1.25	6.12,5.07	5
2.50,1.25	2.28,-0.01	5
2.50,1.25	3.45,5.05	5
2.50,1.25	-0.04,3.07	5
2.50,1.25	1.78,-0.05	5
2.50,1.25	8.71,5.05	5
2.50,1.25	4.98,-0.05	5
2.50,1.25	2.47,-0.05	5
2.50,1.25	9.58,-0.04	5
2.50,1.25	8.98,5.00	5
2.50,1.25	2.06,-0.08	5
2.50,1.25	10.01,4.99	5
2.50,1.25	8.16,-0.02	5
2.50,1.25	10.08,0.86	5
2.50,1.25	-0.08,1.56	5
2.50,1.25	8.07,-0.05	5
2.50,1.25	4.88,-0.04	5
2.50,1.25	4.31,5.04	5
2.50,1.25	3.86,-0.01	5
2.50,1.25	10.07,1.83	5
2.50,1.25	9.47,5.01	5
2.50,1.25	3.84,5.03	5
2.50,1.25	-0.03,2.29	5
2.50,1.25	7.42,-0.08	5
2.50,1.25	10.02,0.78	5
2.50,1.25	4.93,5.04	5
2.50,1.25	0.78,5.01	5
2.50,1.25	3.14,5.04	5
2.50,1.25	6.06,-0.01	5
2.50,1.25	3.36,-0.05	5
2.50,1.25	2.26,-0.05	5
2.50,1.25	9.40,5.01	5
2.50,1.25	-0.05,2.41	5
2.50,1.25	1.40,-0.05	5
2.50,1.25	5.39,-0.01	5
2.50,1.25	10.05,4.71	5
2.50,1.25	9.95,5.06	5
2.50,1.25	6.59,5.02	5
2.50,1.25	10.01,4.01	5
2.50,1.25	0.68,-0.05	5
2.50,1.25	5.19,-0.00	5
2.50,1.25	9.00,5.08	5
2.50,1.25	0.44,-0.02	5
2.50,1.25	7.48,5.07	5
2.50,1.25	6.15,5.06	5
2.50,1.25	0.63,-0.01	5
2.50,1.25	1.12,5.01	5
2.50,1.25	4.72,5.02	5
2.50,1.25	0.83,5.04	5
2.50,1.25	-0.10,2.33	5
2.50,1.25	0.99,5.04	5
2.50,1.25	1.58,5.05	5
2.50,1.25	9.83,-0.08	5
2.50,1.25	4.69,-0.04	5
2.50,1.25	2.75,5.01	5
2.50,1.25	3.32,5.05	5
2.50,1.25	5.33,5.02	5
2.50,1.25	10.02,0.13	5
2.50,1.25	-0.10,0.74	5
2.50,1.25	8.38,5.02	5
2.50,1.25	1.07,5.06	5
2.50,1.25	7.72,5.07	5
2.50,1.25	-0.03,0.08	5
2.50,1.25	7.58,5.07	5
2.50,1.25	7.99,5.03	5
2.50,1.25	0.21,5.00	5
2.50,1.25	6.29,5.07	5
2.50,1.25	1.53,-0.05	5
2.50,1.25	-0.08,4.72	5
2.50,1.25	3.81,-0.08	5
2.50,1.25	9.76,-0.08	5
2.50,1.25	7.16,-0.02	5
2.50,1.25	4.24,-0.07	5
2.50,1.25	-0.08,0.71	5
2.50,1.25	4.24,-0.07	5
2.50,1.25	7.07,-0.02	5
2.50,1.25	10.05,2.82	5
2.50,1.25	8.61,5.02	5
2.50,1.25	5.46,-0.04	5
2.50,1.25	0.72,-0.05	5
2.50,1.25	4.95,5.03	5
2.50,1.25	10.09,0.97	5
2.50,1.25	9.34,-0.02	5
2.50,1.25	4.61,-0.08	5
2.50,1.25	10.08,4.59	5
2.50,1.25	4.68,-0.04	5
2.50,1.25	10.05,2.46	5
2.50,1.25	10.03,2.67	5
2.50,1.25	0.60,-0.04	5
2.50,1.25	-0.06,1.33	5
2.50,1.25	-0.03,3.24	5
2.50,1.25	10.04,3.58	5
2.50,1.25	7.50,5.01	5
2.50,1.25	7.80,-0.03	5
2.50,1.25	3.47,5.00	5
2.50,1.25	5.85,5.00	5
2.50,1.25	7.39,5.00	5
2.50,1.25	3.16,5.01	5
2.50,1.25	10.00,3.43	5
2.50,1.25	8.46,-0.00	5
2.50,1.25	5.51,5.02	5
2.50,1.25	5.22,5.05	5
2.50,1.25	3.38,-0.09	5
2.50,1.25	9.87,-0.02	5
2.50,1.25	4.33,-0.07	5
2.50,1.25	10.05,2.89	5
2.50,1.25	0.78,5.08	5
2.50,1.25	10.02,4.01	5
2.50,1.25	5.89,-0.04	5
2.50,1.25	0.69,5.08	5
2.50,1.25	5.04,5.01	5
2.50,1.25	3.00,5.05	5
2.50,1.25	8.38,5.01	5
2.50,1.25	1.40,5.04	5
2.50,1.25	10.01,2.35	5
2.50,1.25	10.02,3.29	5
2.50,1.25	4.50,-0.00	5
2.50,1.25	6.60,-0.05	5
2.50,1.25	4.89,5.01	5
2.50,1.25	-0.10,0.36	5
2.50,1.25	10.06,1.99	5
2.50,1.25	10.02,2.05	5
2.50,1.25	10.01,3.95	5
2.50,1.25	-0.05,2.10	5
2.50,1.25	10.04,1.32	5
2.50,1.25	5.39,-0.01	5
2.50,1.25	-0.08,1.56	5
2.50,1.25	10.04,2.89	5
2.50,1.25	9.56,5.03	5
2.50,1.25	10.04,2.91	5
2.50,1.25	-0.06,2.29	5
2.50,1.25	-0.09,4.47	5
2.50,1.25	4.62,-0.08	5
2.50,1.25	6.94,5.03	5
2.50,1.25	-0.04,0.71	5
2.50,1.25	4.88,-0.06	5
2.50,1.25	10.01,2.83	5
2.50,1.25	0.15,5.00	5
2.50,1.25	10.03,1.05	5
2.50,1.25	8.11,5.02	5
2.50,1.25	1.22,5.04	5
2.50,1.25	3.91,-0.08	5
