èâä˙à íu	ç≈èIà íu	îΩéÀâÒêî
2.50,1.25	-0.02,3.25	5
2.50,1.25	-0.02,3.25	5
2.50,1.25	0.91,-0.07	5
2.50,1.25	1.05,10.02	5
2.50,1.25	5.02,2.02	5
2.50,1.25	2.98,10.08	5
2.50,1.25	5.10,0.94	5
2.50,1.25	-0.03,0.49	5
2.50,1.25	5.05,5.00	5
2.50,1.25	5.03,1.87	5
2.50,1.25	-0.02,0.21	5
2.50,1.25	-0.00,7.20	5
2.50,1.25	0.71,10.00	5
2.50,1.25	5.05,6.79	5
2.50,1.25	5.02,3.70	5
2.50,1.25	0.41,10.02	5
2.50,1.25	5.03,0.91	5
2.50,1.25	0.44,10.00	5
2.50,1.25	-0.03,2.82	5
2.50,1.25	2.26,10.04	5
2.50,1.25	5.01,2.83	5
2.50,1.25	5.05,5.89	5
2.50,1.25	-0.03,9.81	5
2.50,1.25	2.78,10.03	5
2.50,1.25	-0.05,2.21	5
2.50,1.25	1.88,10.07	5
2.50,1.25	-0.02,7.92	5
2.50,1.25	0.91,-0.07	5
2.50,1.25	5.00,4.09	5
2.50,1.25	5.10,0.70	5
2.50,1.25	0.64,10.02	5
2.50,1.25	5.04,7.64	5
2.50,1.25	2.67,-0.02	5
2.50,1.25	0.36,-0.05	5
2.50,1.25	0.89,10.06	5
2.50,1.25	-0.02,7.34	5
2.50,1.25	5.00,3.21	5
2.50,1.25	2.93,-0.04	5
2.50,1.25	1.46,-0.04	5
2.50,1.25	4.08,-0.05	5
2.50,1.25	5.01,7.32	5
2.50,1.25	2.17,-0.03	5
2.50,1.25	2.65,10.03	5
2.50,1.25	-0.00,8.82	5
2.50,1.25	-0.02,3.26	5
2.50,1.25	5.02,7.06	5
2.50,1.25	5.08,5.51	5
2.50,1.25	0.17,10.01	5
2.50,1.25	5.03,3.25	5
2.50,1.25	1.85,10.00	5
2.50,1.25	5.02,8.76	5
2.50,1.25	5.09,2.71	5
2.50,1.25	5.07,8.81	5
2.50,1.25	1.42,10.02	5
2.50,1.25	0.54,-0.05	5
2.50,1.25	0.27,10.03	5
2.50,1.25	1.00,10.02	5
2.50,1.25	5.00,7.21	5
2.50,1.25	1.73,10.06	5
2.50,1.25	-0.05,9.80	5
2.50,1.25	-0.00,2.74	5
2.50,1.25	0.32,10.02	5
2.50,1.25	5.10,0.82	5
2.50,1.25	0.98,-0.03	5
2.50,1.25	5.02,1.59	5
2.50,1.25	5.07,4.68	5
2.50,1.25	3.34,10.05	5
2.50,1.25	4.51,10.03	5
2.50,1.25	5.01,9.88	5
2.50,1.25	-0.03,5.38	5
2.50,1.25	5.04,5.06	5
2.50,1.25	-0.06,5.31	5
2.50,1.25	0.68,-0.01	5
2.50,1.25	-0.03,4.60	5
2.50,1.25	-0.03,0.78	5
2.50,1.25	2.02,10.04	5
2.50,1.25	0.24,10.02	5
2.50,1.25	5.09,2.91	5
2.50,1.25	5.02,7.44	5
2.50,1.25	5.01,3.50	5
2.50,1.25	5.06,2.05	5
2.50,1.25	2.95,-0.00	5
2.50,1.25	5.10,2.42	5
2.50,1.25	5.00,8.25	5
2.50,1.25	4.42,-0.05	5
2.50,1.25	-0.01,1.82	5
2.50,1.25	5.01,3.74	5
2.50,1.25	-0.07,4.66	5
2.50,1.25	4.50,-0.00	5
2.50,1.25	-0.01,2.83	5
2.50,1.25	2.13,-0.01	5
2.50,1.25	5.10,1.10	5
2.50,1.25	5.02,2.63	5
2.50,1.25	5.06,1.71	5
2.50,1.25	5.10,1.06	5
2.50,1.25	4.33,10.04	5
2.50,1.25	-0.07,8.76	5
2.50,1.25	-0.05,6.74	5
2.50,1.25	2.24,-0.01	5
2.50,1.25	-0.04,7.00	5
2.50,1.25	5.09,0.15	5
2.50,1.25	5.09,0.57	5
2.50,1.25	3.35,-0.02	5
2.50,1.25	5.03,5.21	5
2.50,1.25	4.01,10.08	5
2.50,1.25	4.99,-0.04	5
2.50,1.25	5.09,0.41	5
2.50,1.25	5.06,5.36	5
2.50,1.25	5.06,5.41	5
2.50,1.25	0.48,-0.06	5
2.50,1.25	5.01,0.91	5
2.50,1.25	-0.07,6.53	5
2.50,1.25	-0.02,9.97	5
2.50,1.25	5.03,6.58	5
2.50,1.25	5.04,0.83	5
2.50,1.25	5.02,1.50	5
2.50,1.25	5.01,6.02	5
2.50,1.25	5.08,4.17	5
2.50,1.25	1.15,-0.05	5
2.50,1.25	5.09,8.19	5
2.50,1.25	5.01,1.35	5
2.50,1.25	5.08,4.10	5
2.50,1.25	5.10,0.85	5
2.50,1.25	4.45,-0.06	5
2.50,1.25	2.81,10.05	5
2.50,1.25	5.02,6.51	5
2.50,1.25	-0.01,4.85	5
2.50,1.25	-0.00,4.38	5
2.50,1.25	-0.01,4.33	5
2.50,1.25	4.03,10.07	5
2.50,1.25	-0.05,9.18	5
2.50,1.25	1.91,-0.04	5
2.50,1.25	5.02,0.48	5
2.50,1.25	3.81,10.09	5
2.50,1.25	-0.04,4.78	5
2.50,1.25	4.93,-0.05	5
2.50,1.25	-0.06,9.72	5
2.50,1.25	5.07,8.81	5
2.50,1.25	-0.10,2.45	5
2.50,1.25	3.21,-0.04	5
2.50,1.25	0.71,-0.06	5
2.50,1.25	5.08,4.30	5
2.50,1.25	-0.01,6.52	5
2.50,1.25	-0.08,1.22	5
2.50,1.25	-0.04,2.01	5
2.50,1.25	5.08,8.36	5
2.50,1.25	5.00,4.46	5
2.50,1.25	-0.06,1.11	5
2.50,1.25	2.31,-0.08	5
2.50,1.25	1.51,-0.03	5
2.50,1.25	1.54,10.03	5
2.50,1.25	4.91,-0.07	5
2.50,1.25	-0.10,0.91	5
2.50,1.25	4.47,-0.05	5
2.50,1.25	-0.09,0.66	5
2.50,1.25	5.09,3.66	5
2.50,1.25	1.83,10.07	5
2.50,1.25	-0.03,0.41	5
2.50,1.25	5.07,9.47	5
2.50,1.25	-0.05,0.09	5
2.50,1.25	2.09,-0.03	5
2.50,1.25	2.60,10.03	5
2.50,1.25	0.02,10.02	5
2.50,1.25	5.02,8.82	5
2.50,1.25	-0.10,0.10	5
2.50,1.25	-0.06,9.06	5
2.50,1.25	5.03,8.88	5
2.50,1.25	-0.06,6.51	5
2.50,1.25	-0.03,6.27	5
2.50,1.25	1.41,-0.05	5
2.50,1.25	-0.01,5.92	5
2.50,1.25	5.02,7.29	5
2.50,1.25	2.74,10.01	5
2.50,1.25	4.13,10.04	5
2.50,1.25	5.05,9.12	5
2.50,1.25	5.03,7.90	5
2.50,1.25	0.59,-0.06	5
2.50,1.25	-0.01,5.93	5
2.50,1.25	3.86,10.03	5
2.50,1.25	4.65,10.02	5
2.50,1.25	5.03,8.89	5
2.50,1.25	-0.07,2.13	5
2.50,1.25	1.49,10.05	5
2.50,1.25	3.80,10.07	5
2.50,1.25	5.01,4.42	5
2.50,1.25	-0.05,9.18	5
2.50,1.25	-0.03,2.39	5
2.50,1.25	5.01,3.25	5
2.50,1.25	-0.03,9.95	5
2.50,1.25	4.76,-0.07	5
2.50,1.25	5.01,6.53	5
2.50,1.25	5.09,3.54	5
2.50,1.25	2.18,10.00	5
2.50,1.25	-0.02,7.92	5
2.50,1.25	2.32,10.01	5
2.50,1.25	5.05,4.74	5
2.50,1.25	0.96,10.02	5
2.50,1.25	-0.09,0.38	5
2.50,1.25	4.06,-0.07	5
2.50,1.25	5.07,6.54	5
2.50,1.25	-0.00,4.74	5
2.50,1.25	3.26,-0.04	5
2.50,1.25	4.92,-0.07	5
2.50,1.25	-0.08,9.38	5
2.50,1.25	2.31,-0.07	5
2.50,1.25	5.06,5.09	5
2.50,1.25	5.00,9.15	5
2.50,1.25	2.04,10.03	5
2.50,1.25	5.04,0.48	5
2.50,1.25	5.02,6.17	5
2.50,1.25	-0.10,0.94	5
2.50,1.25	0.15,-0.05	5
2.50,1.25	5.01,0.21	5
2.50,1.25	5.02,4.96	5
2.50,1.25	-0.08,8.00	5
2.50,1.25	5.00,7.55	5
2.50,1.25	4.18,-0.05	5
2.50,1.25	-0.02,8.54	5
2.50,1.25	4.17,-0.03	5
2.50,1.25	2.31,-0.07	5
2.50,1.25	4.48,10.01	5
2.50,1.25	-0.05,2.98	5
2.50,1.25	2.82,-0.05	5
2.50,1.25	5.03,3.89	5
2.50,1.25	-0.02,2.63	5
2.50,1.25	5.04,6.26	5
2.50,1.25	-0.06,9.23	5
2.50,1.25	5.10,1.40	5
2.50,1.25	5.04,8.61	5
2.50,1.25	5.08,8.00	5
2.50,1.25	0.99,-0.05	5
2.50,1.25	3.56,-0.08	5
2.50,1.25	5.04,2.70	5
2.50,1.25	5.05,8.39	5
2.50,1.25	1.80,10.04	5
2.50,1.25	2.18,-0.07	5
2.50,1.25	0.43,10.04	5
2.50,1.25	5.07,5.06	5
2.50,1.25	5.09,6.21	5
2.50,1.25	-0.02,9.96	5
2.50,1.25	-0.00,9.00	5
2.50,1.25	-0.00,6.44	5
2.50,1.25	0.34,-0.05	5
2.50,1.25	-0.04,2.01	5
2.50,1.25	-0.07,5.42	5
2.50,1.25	1.97,10.09	5
2.50,1.25	5.05,3.53	5
2.50,1.25	0.58,-0.06	5
2.50,1.25	-0.05,0.02	5
2.50,1.25	5.09,0.42	5
2.50,1.25	-0.06,1.71	5
2.50,1.25	5.02,5.91	5
2.50,1.25	5.02,1.50	5
2.50,1.25	1.53,10.08	5
2.50,1.25	5.05,5.91	5
2.50,1.25	-0.00,1.75	5
2.50,1.25	5.03,9.35	5
2.50,1.25	-0.00,9.92	5
2.50,1.25	-0.02,0.78	5
2.50,1.25	2.41,10.02	5
2.50,1.25	-0.02,1.87	5
2.50,1.25	-0.08,4.21	5
2.50,1.25	4.77,10.02	5
2.50,1.25	4.56,-0.03	5
2.50,1.25	3.32,10.03	5
2.50,1.25	-0.04,8.57	5
2.50,1.25	3.42,10.09	5
2.50,1.25	-0.06,8.72	5
2.50,1.25	5.05,3.10	5
2.50,1.25	5.03,0.48	5
2.50,1.25	4.92,10.03	5
2.50,1.25	1.08,-0.04	5
2.50,1.25	0.84,-0.02	5
2.50,1.25	4.11,10.01	5
2.50,1.25	0.36,-0.06	5
2.50,1.25	0.04,-0.06	5
2.50,1.25	2.06,-0.01	5
2.50,1.25	5.00,5.80	5
2.50,1.25	-0.01,5.62	5
2.50,1.25	5.00,2.11	5
2.50,1.25	1.97,10.08	5
2.50,1.25	4.74,-0.00	5
2.50,1.25	4.44,-0.06	5
2.50,1.25	0.61,10.04	5
2.50,1.25	-0.02,5.27	5
2.50,1.25	5.01,7.38	5
2.50,1.25	-0.07,4.82	5
2.50,1.25	0.31,10.04	5
2.50,1.25	-0.02,0.41	5
2.50,1.25	5.09,6.24	5
2.50,1.25	1.93,10.03	5
2.50,1.25	-0.03,8.85	5
2.50,1.25	0.70,-0.05	5
2.50,1.25	5.02,4.38	5
2.50,1.25	-0.07,4.52	5
2.50,1.25	-0.03,7.22	5
2.50,1.25	-0.05,0.02	5
2.50,1.25	5.07,4.32	5
2.50,1.25	-0.10,1.21	5
2.50,1.25	0.34,10.03	5
2.50,1.25	1.54,-0.03	5
2.50,1.25	5.04,5.26	5
2.50,1.25	1.98,-0.04	5
2.50,1.25	5.05,2.63	5
2.50,1.25	1.28,-0.05	5
2.50,1.25	-0.05,3.53	5
2.50,1.25	5.01,5.73	5
2.50,1.25	1.21,10.08	5
2.50,1.25	3.11,-0.04	5
2.50,1.25	3.03,10.09	5
2.50,1.25	5.06,7.31	5
2.50,1.25	2.95,10.05	5
2.50,1.25	0.71,10.00	5
2.50,1.25	-0.05,8.32	5
2.50,1.25	1.63,-0.04	5
2.50,1.25	0.95,10.00	5
2.50,1.25	5.09,3.18	5
2.50,1.25	5.03,6.57	5
2.50,1.25	-0.01,4.08	5
2.50,1.25	5.02,7.05	5
2.50,1.25	-0.05,2.37	5
2.50,1.25	-0.10,1.33	5
2.50,1.25	-0.05,6.74	5
2.50,1.25	-0.09,3.43	5
2.50,1.25	2.14,10.05	5
2.50,1.25	2.83,-0.02	5
2.50,1.25	-0.10,1.43	5
2.50,1.25	-0.05,7.19	5
2.50,1.25	4.82,-0.05	5
2.50,1.25	2.31,-0.07	5
2.50,1.25	4.43,-0.07	5
2.50,1.25	5.00,3.21	5
2.50,1.25	0.11,10.05	5
2.50,1.25	-0.09,6.09	5
2.50,1.25	5.03,6.54	5
2.50,1.25	0.69,-0.05	5
2.50,1.25	-0.02,8.72	5
2.50,1.25	5.04,4.08	5
2.50,1.25	-0.07,2.13	5
2.50,1.25	4.87,10.02	5
2.50,1.25	5.09,6.23	5
2.50,1.25	5.01,6.26	5
2.50,1.25	3.86,10.07	5
2.50,1.25	-0.03,6.50	5
2.50,1.25	5.05,6.62	5
2.50,1.25	-0.01,9.48	5
2.50,1.25	5.05,9.31	5
2.50,1.25	5.03,7.07	5
2.50,1.25	5.10,1.38	5
2.50,1.25	5.03,7.21	5
2.50,1.25	5.02,7.96	5
2.50,1.25	4.92,10.00	5
2.50,1.25	5.02,7.43	5
2.50,1.25	-0.05,8.60	5
2.50,1.25	4.35,-0.05	5
2.50,1.25	0.30,10.04	5
2.50,1.25	2.74,10.05	5
2.50,1.25	-0.01,9.71	5
2.50,1.25	1.86,10.01	5
2.50,1.25	5.04,2.55	5
2.50,1.25	3.10,10.05	5
2.50,1.25	5.03,3.70	5
2.50,1.25	3.75,10.08	5
2.50,1.25	5.05,2.43	5
2.50,1.25	1.16,-0.05	5
2.50,1.25	5.03,5.27	5
2.50,1.25	2.98,10.09	5
2.50,1.25	-0.08,3.78	5
2.50,1.25	4.65,10.01	5
2.50,1.25	5.04,8.94	5
2.50,1.25	-0.10,0.94	5
2.50,1.25	5.08,4.26	5
2.50,1.25	5.04,9.83	5
2.50,1.25	-0.03,5.21	5
2.50,1.25	0.39,-0.05	5
2.50,1.25	5.09,8.08	5
2.50,1.25	0.00,-0.04	5
2.50,1.25	5.02,3.32	5
2.50,1.25	2.81,10.05	5
2.50,1.25	1.78,-0.03	5
2.50,1.25	-0.05,9.81	5
2.50,1.25	5.08,6.74	5
2.50,1.25	2.50,10.02	5
2.50,1.25	-0.02,8.69	5
2.50,1.25	5.07,4.63	5
2.50,1.25	0.56,-0.06	5
2.50,1.25	-0.02,7.44	5
2.50,1.25	5.05,5.73	5
2.50,1.25	0.33,10.05	5
2.50,1.25	5.02,7.23	5
2.50,1.25	4.59,10.04	5
2.50,1.25	2.71,-0.05	5
2.50,1.25	4.97,10.02	5
2.50,1.25	5.01,7.86	5
2.50,1.25	-0.05,6.77	5
2.50,1.25	-0.02,4.08	5
2.50,1.25	5.06,1.11	5
2.50,1.25	1.57,10.03	5
2.50,1.25	-0.02,8.71	5
2.50,1.25	0.26,10.03	5
2.50,1.25	0.08,-0.07	5
2.50,1.25	5.05,5.92	5
2.50,1.25	2.01,-0.02	5
2.50,1.25	-0.03,7.03	5
2.50,1.25	-0.04,7.18	5
2.50,1.25	3.88,10.09	5
2.50,1.25	-0.03,4.78	5
2.50,1.25	5.03,9.81	5
2.50,1.25	0.64,-0.05	5
2.50,1.25	2.32,10.00	5
2.50,1.25	-0.05,7.69	5
2.50,1.25	5.03,10.07	5
2.50,1.25	5.05,2.15	5
2.50,1.25	-0.08,4.43	5
2.50,1.25	5.01,7.45	5
2.50,1.25	5.04,8.01	5
2.50,1.25	5.01,6.25	5
2.50,1.25	0.95,-0.03	5
2.50,1.25	5.06,6.61	5
2.50,1.25	-0.01,0.82	5
2.50,1.25	2.13,-0.00	5
2.50,1.25	-0.04,2.98	5
2.50,1.25	5.04,6.04	5
2.50,1.25	1.79,10.00	5
2.50,1.25	3.74,10.01	5
2.50,1.25	5.06,1.75	5
2.50,1.25	-0.10,2.36	5
2.50,1.25	-0.00,3.72	5
2.50,1.25	5.01,6.11	5
2.50,1.25	4.22,10.03	5
2.50,1.25	5.01,3.51	5
2.50,1.25	5.03,6.18	5
2.50,1.25	5.03,9.70	5
2.50,1.25	-0.03,7.04	5
2.50,1.25	5.03,6.58	5
2.50,1.25	-0.09,3.34	5
2.50,1.25	-0.00,3.93	5
2.50,1.25	3.96,-0.04	5
2.50,1.25	-0.06,3.53	5
2.50,1.25	4.92,10.01	5
2.50,1.25	3.76,-0.03	5
2.50,1.25	-0.02,0.78	5
2.50,1.25	-0.03,6.72	5
2.50,1.25	5.01,9.00	5
2.50,1.25	2.89,-0.05	5
2.50,1.25	0.60,-0.06	5
2.50,1.25	-0.04,8.40	5
2.50,1.25	5.10,2.21	5
2.50,1.25	4.66,-0.05	5
2.50,1.25	5.04,7.72	5
2.50,1.25	3.21,10.01	5
2.50,1.25	5.00,-0.05	5
2.50,1.25	3.98,-0.05	5
2.50,1.25	2.18,10.00	5
2.50,1.25	-0.04,7.20	5
2.50,1.25	5.02,7.41	5
2.50,1.25	-0.06,9.32	5
2.50,1.25	4.35,-0.05	5
2.50,1.25	5.10,1.54	5
2.50,1.25	5.00,2.20	5
2.50,1.25	5.01,5.25	5
2.50,1.25	5.03,9.95	5
2.50,1.25	-0.02,3.06	5
2.50,1.25	5.08,4.23	5
2.50,1.25	3.13,10.03	5
2.50,1.25	-0.07,1.53	5
2.50,1.25	2.26,10.05	5
2.50,1.25	5.07,8.20	5
2.50,1.25	1.11,-0.05	5
2.50,1.25	5.05,2.43	5
2.50,1.25	2.17,-0.02	5
2.50,1.25	-0.06,1.75	5
2.50,1.25	0.26,-0.07	5
2.50,1.25	-0.01,3.25	5
2.50,1.25	3.31,-0.04	5
2.50,1.25	5.10,0.83	5
2.50,1.25	5.05,6.81	5
2.50,1.25	3.05,10.03	5
2.50,1.25	-0.01,2.74	5
2.50,1.25	0.39,10.04	5
2.50,1.25	-0.07,1.46	5
2.50,1.25	-0.07,4.51	5
2.50,1.25	2.31,-0.07	5
2.50,1.25	4.19,10.05	5
2.50,1.25	0.20,-0.00	5
2.50,1.25	3.60,-0.03	5
2.50,1.25	4.99,-0.04	5
2.50,1.25	0.48,-0.05	5
2.50,1.25	5.04,3.25	5
2.50,1.25	5.02,8.74	5
2.50,1.25	3.97,10.02	5
2.50,1.25	-0.07,5.42	5
2.50,1.25	-0.03,8.51	5
2.50,1.25	3.50,-0.01	5
2.50,1.25	-0.01,1.74	5
2.50,1.25	5.02,0.86	5
2.50,1.25	1.68,10.03	5
2.50,1.25	-0.03,5.05	5
2.50,1.25	4.57,10.03	5
2.50,1.25	1.50,-0.00	5
2.50,1.25	2.82,-0.07	5
2.50,1.25	-0.08,9.55	5
2.50,1.25	5.02,7.24	5
2.50,1.25	0.64,-0.05	5
2.50,1.25	3.78,-0.04	5
2.50,1.25	5.06,6.70	5
2.50,1.25	5.03,8.92	5
2.50,1.25	5.08,4.40	5
2.50,1.25	-0.06,9.51	5
2.50,1.25	-0.03,5.26	5
2.50,1.25	5.05,0.08	5
2.50,1.25	5.05,4.98	5
2.50,1.25	3.61,-0.05	5
2.50,1.25	3.23,10.01	5
2.50,1.25	5.05,8.38	5
2.50,1.25	5.05,2.00	5
2.50,1.25	5.00,3.21	5
2.50,1.25	-0.00,2.97	5
2.50,1.25	4.88,10.05	5
2.50,1.25	5.09,3.69	5
2.50,1.25	3.45,10.08	5
2.50,1.25	2.99,-0.01	5
2.50,1.25	-0.01,2.97	5
2.50,1.25	5.03,9.33	5
2.50,1.25	2.13,10.05	5
2.50,1.25	5.06,5.36	5
2.50,1.25	3.58,10.02	5
2.50,1.25	1.32,-0.03	5
2.50,1.25	-0.05,7.71	5
2.50,1.25	5.10,1.97	5
2.50,1.25	3.93,-0.04	5
2.50,1.25	5.03,7.20	5
2.50,1.25	0.07,-0.07	5
2.50,1.25	5.04,6.16	5
2.50,1.25	5.02,0.48	5
2.50,1.25	-0.00,7.22	5
2.50,1.25	5.00,7.67	5
2.50,1.25	5.07,4.76	5
2.50,1.25	-0.04,6.35	5
2.50,1.25	5.03,7.49	5
2.50,1.25	5.05,5.80	5
2.50,1.25	4.74,-0.05	5
2.50,1.25	-0.04,2.98	5
2.50,1.25	0.87,-0.05	5
2.50,1.25	3.38,-0.04	5
2.50,1.25	5.04,10.01	5
2.50,1.25	5.10,1.73	5
2.50,1.25	-0.02,9.47	5
2.50,1.25	1.15,-0.05	5
2.50,1.25	5.04,5.14	5
2.50,1.25	5.04,1.00	5
2.50,1.25	5.04,9.40	5
2.50,1.25	5.03,2.91	5
2.50,1.25	-0.06,1.96	5
2.50,1.25	-0.10,0.34	5
2.50,1.25	0.53,10.01	5
2.50,1.25	5.06,1.87	5
2.50,1.25	4.72,10.02	5
2.50,1.25	-0.04,1.50	5
2.50,1.25	0.93,-0.07	5
2.50,1.25	3.59,-0.04	5
2.50,1.25	2.90,10.05	5
2.50,1.25	0.69,-0.06	5
2.50,1.25	5.00,1.05	5
2.50,1.25	-0.10,2.40	5
2.50,1.25	-0.01,8.43	5
2.50,1.25	5.05,2.41	5
2.50,1.25	4.61,-0.03	5
2.50,1.25	5.00,8.44	5
2.50,1.25	-0.09,0.43	5
2.50,1.25	5.03,4.60	5
2.50,1.25	-0.00,1.05	5
2.50,1.25	5.03,1.87	5
2.50,1.25	0.99,-0.03	5
2.50,1.25	5.01,5.29	5
2.50,1.25	-0.02,4.61	5
2.50,1.25	-0.01,7.36	5
2.50,1.25	5.07,4.43	5
2.50,1.25	-0.04,2.70	5
2.50,1.25	-0.03,4.78	5
2.50,1.25	-0.05,8.36	5
2.50,1.25	0.83,-0.05	5
2.50,1.25	3.03,10.09	5
2.50,1.25	-0.04,9.37	5
2.50,1.25	5.09,3.19	5
2.50,1.25	-0.02,7.42	5
2.50,1.25	5.09,0.19	5
2.50,1.25	5.01,2.73	5
2.50,1.25	1.18,10.04	5
2.50,1.25	-0.07,7.30	5
2.50,1.25	-0.09,0.57	5
2.50,1.25	-0.05,9.28	5
2.50,1.25	0.58,10.01	5
2.50,1.25	-0.01,3.33	5
2.50,1.25	2.87,-0.01	5
2.50,1.25	-0.02,9.39	5
2.50,1.25	-0.04,4.00	5
2.50,1.25	-0.04,8.96	5
2.50,1.25	4.49,-0.05	5
2.50,1.25	-0.03,1.59	5
2.50,1.25	4.72,-0.05	5
2.50,1.25	1.79,10.00	5
2.50,1.25	1.93,-0.03	5
2.50,1.25	3.91,10.05	5
2.50,1.25	0.82,-0.03	5
2.50,1.25	-0.04,4.00	5
2.50,1.25	-0.02,1.59	5
2.50,1.25	5.08,8.42	5
2.50,1.25	-0.00,8.49	5
2.50,1.25	4.02,-0.02	5
2.50,1.25	5.01,5.74	5
2.50,1.25	-0.06,5.54	5
2.50,1.25	0.10,10.04	5
2.50,1.25	-0.05,9.78	5
2.50,1.25	5.01,7.20	5
2.50,1.25	-0.04,2.55	5
2.50,1.25	-0.05,0.48	5
2.50,1.25	3.53,-0.03	5
2.50,1.25	-0.02,1.00	5
2.50,1.25	3.87,-0.04	5
2.50,1.25	2.94,-0.01	5
2.50,1.25	1.45,-0.05	5
2.50,1.25	-0.06,9.22	5
2.50,1.25	5.09,4.17	5
2.50,1.25	5.07,4.70	5
2.50,1.25	-0.10,2.27	5
2.50,1.25	0.85,-0.05	5
2.50,1.25	5.02,3.16	5
2.50,1.25	0.44,-0.05	5
2.50,1.25	2.66,10.06	5
2.50,1.25	5.01,4.08	5
2.50,1.25	-0.02,10.04	6
2.50,1.25	0.98,10.10	5
2.50,1.25	0.68,-0.01	5
2.50,1.25	0.56,-0.06	5
2.50,1.25	5.10,1.69	5
2.50,1.25	5.00,4.34	5
2.50,1.25	5.01,3.59	5
2.50,1.25	-0.02,7.27	5
2.50,1.25	4.80,-0.07	5
2.50,1.25	-0.10,2.48	5
2.50,1.25	-0.02,6.86	5
2.50,1.25	-0.08,4.27	5
2.50,1.25	5.06,1.11	5
2.50,1.25	5.02,5.43	5
2.50,1.25	-0.06,4.67	5
2.50,1.25	2.66,10.05	5
2.50,1.25	3.97,-0.05	5
2.50,1.25	-0.05,4.89	5
2.50,1.25	1.78,-0.03	5
2.50,1.25	5.02,5.41	5
2.50,1.25	4.18,-0.05	5
2.50,1.25	2.13,-0.01	5
2.50,1.25	4.30,-0.06	5
2.50,1.25	5.04,0.02	5
2.50,1.25	2.42,10.05	5
2.50,1.25	3.35,10.02	5
2.50,1.25	-0.05,9.41	5
2.50,1.25	5.08,9.53	5
2.50,1.25	0.05,-0.03	5
2.50,1.25	5.05,9.18	5
2.50,1.25	2.50,-0.02	5
2.50,1.25	-0.00,3.84	5
2.50,1.25	5.03,8.65	5
2.50,1.25	-0.02,5.06	5
2.50,1.25	-0.06,4.74	5
2.50,1.25	-0.04,8.53	5
2.50,1.25	5.06,4.69	5
2.50,1.25	0.75,10.02	5
2.50,1.25	1.87,10.02	5
2.50,1.25	5.08,3.83	5
2.50,1.25	2.67,10.05	5
2.50,1.25	0.37,10.03	5
2.50,1.25	5.07,4.58	5
2.50,1.25	5.09,3.28	5
2.50,1.25	4.32,10.01	5
2.50,1.25	2.17,-0.02	5
2.50,1.25	0.92,10.00	5
2.50,1.25	5.07,3.22	5
2.50,1.25	-0.01,1.74	5
2.50,1.25	-0.00,2.91	5
2.50,1.25	0.84,10.06	5
2.50,1.25	-0.01,2.83	5
2.50,1.25	-0.06,1.92	5
2.50,1.25	2.06,-0.00	5
2.50,1.25	2.34,10.06	5
2.50,1.25	5.04,6.11	5
2.50,1.25	-0.08,4.38	5
2.50,1.25	5.00,2.85	5
2.50,1.25	0.72,10.04	5
