èâä˙à íu	ç≈èIà íu	îΩéÀâÒêî
2.50,2.50	8.13,5.02	5
2.50,2.50	6.36,5.03	5
2.50,2.50	10.04,4.21	5
2.50,2.50	2.85,-0.10	5
2.50,2.50	10.03,0.68	5
2.50,2.50	10.00,0.79	5
2.50,2.50	5.12,5.03	5
2.50,2.50	2.92,-0.04	5
2.50,2.50	-0.01,2.70	5
2.50,2.50	10.06,0.88	5
2.50,2.50	-0.03,0.01	5
2.50,2.50	3.41,5.06	5
2.50,2.50	10.05,2.50	5
2.50,2.50	6.10,-0.02	5
2.50,2.50	10.01,1.10	5
2.50,2.50	4.31,5.09	5
2.50,2.50	-0.06,4.42	5
2.50,2.50	3.27,-0.02	5
2.50,2.50	7.14,-0.03	5
2.50,2.50	7.84,-0.01	5
2.50,2.50	1.70,-0.04	5
2.50,2.50	10.06,1.89	5
2.50,2.50	9.02,-0.02	5
2.50,2.50	0.37,5.03	5
2.50,2.50	8.22,5.02	5
2.50,2.50	8.68,-0.04	5
2.50,2.50	10.10,2.71	5
2.50,2.50	8.41,-0.02	5
2.50,2.50	-0.00,2.70	5
2.50,2.50	6.10,-0.01	5
2.50,2.50	-0.05,0.31	5
2.50,2.50	2.08,5.05	5
2.50,2.50	10.04,2.27	5
2.50,2.50	0.79,5.05	5
2.50,2.50	5.79,5.02	5
2.50,2.50	-0.01,4.52	5
2.50,2.50	10.06,3.94	5
2.50,2.50	2.56,-0.01	5
2.50,2.50	9.92,5.02	5
2.50,2.50	0.38,-0.04	5
2.50,2.50	7.77,-0.02	5
2.50,2.50	10.06,1.15	5
2.50,2.50	10.00,2.27	5
2.50,2.50	6.18,-0.02	5
2.50,2.50	-0.09,0.60	5
2.50,2.50	7.11,-0.05	5
2.50,2.50	5.20,5.08	5
2.50,2.50	6.34,-0.04	5
2.50,2.50	-0.05,4.68	5
2.50,2.50	-0.08,2.42	5
2.50,2.50	1.98,-0.07	5
2.50,2.50	9.96,5.07	5
2.50,2.50	1.01,-0.09	5
2.50,2.50	10.01,1.14	5
2.50,2.50	10.06,2.96	5
2.50,2.50	2.33,5.01	5
2.50,2.50	-0.00,4.53	5
2.50,2.50	4.80,-0.00	5
2.50,2.50	2.69,5.10	5
2.50,2.50	-0.07,2.50	5
2.50,2.50	8.80,-0.02	5
2.50,2.50	10.04,3.36	5
2.50,2.50	6.90,-0.05	5
2.50,2.50	8.87,-0.00	5
2.50,2.50	0.19,-0.07	5
2.50,2.50	0.36,5.01	5
2.50,2.50	8.30,-0.07	5
2.50,2.50	10.03,4.49	5
2.50,2.50	10.07,0.65	5
2.50,2.50	9.93,5.08	5
2.50,2.50	-0.05,0.32	5
2.50,2.50	9.02,-0.00	5
2.50,2.50	-0.06,4.25	5
2.50,2.50	-0.07,1.68	5
2.50,2.50	5.46,5.07	5
2.50,2.50	8.92,-0.03	5
2.50,2.50	10.02,3.64	5
2.50,2.50	-0.04,3.09	5
2.50,2.50	-0.07,3.22	5
2.50,2.50	10.01,0.81	5
2.50,2.50	-0.10,2.28	5
2.50,2.50	1.73,-0.05	5
2.50,2.50	-0.10,4.03	5
2.50,2.50	0.93,5.02	5
2.50,2.50	8.24,-0.08	5
2.50,2.50	6.72,5.07	5
2.50,2.50	10.09,1.68	5
2.50,2.50	-0.09,0.27	5
2.50,2.50	6.96,-0.01	5
2.50,2.50	9.47,-0.05	5
2.50,2.50	3.13,5.08	5
2.50,2.50	10.02,2.12	5
2.50,2.50	3.13,5.08	5
2.50,2.50	10.10,3.73	5
2.50,2.50	2.84,5.01	5
2.50,2.50	3.49,-0.06	5
2.50,2.50	10.02,3.90	5
2.50,2.50	5.92,-0.00	5
2.50,2.50	5.06,5.08	5
2.50,2.50	2.15,-0.10	5
2.50,2.50	10.05,4.33	5
2.50,2.50	-0.06,0.56	5
2.50,2.50	-0.02,2.69	5
2.50,2.50	10.10,1.09	5
2.50,2.50	0.20,5.09	5
2.50,2.50	1.97,5.06	5
2.50,2.50	5.50,-0.08	5
2.50,2.50	6.51,-0.05	5
2.50,2.50	2.67,-0.10	5
2.50,2.50	-0.00,1.56	5
2.50,2.50	10.06,4.39	5
2.50,2.50	10.06,2.04	5
2.50,2.50	0.22,5.06	5
2.50,2.50	5.36,5.07	5
2.50,2.50	10.03,3.71	5
2.50,2.50	2.43,5.00	5
2.50,2.50	6.37,-0.02	5
2.50,2.50	-0.04,4.97	5
2.50,2.50	7.56,5.03	5
2.50,2.50	-0.07,2.10	5
2.50,2.50	10.10,2.16	5
2.50,2.50	10.06,4.13	5
2.50,2.50	5.69,-0.04	5
2.50,2.50	-0.02,3.84	5
2.50,2.50	-0.01,4.89	5
2.50,2.50	6.35,5.03	5
2.50,2.50	6.12,5.01	5
2.50,2.50	6.19,5.02	5
2.50,2.50	4.79,5.01	5
2.50,2.50	7.17,5.01	5
2.50,2.50	10.02,3.16	5
2.50,2.50	6.58,5.06	5
2.50,2.50	3.74,-0.02	5
2.50,2.50	-0.10,0.02	5
2.50,2.50	-0.05,4.47	5
2.50,2.50	0.70,-0.06	5
2.50,2.50	-0.01,1.30	5
2.50,2.50	2.50,-0.01	5
2.50,2.50	10.03,1.11	5
2.50,2.50	1.83,-0.03	5
2.50,2.50	10.03,1.64	5
2.50,2.50	3.81,-0.04	5
2.50,2.50	5.49,-0.08	5
2.50,2.50	10.05,3.78	5
2.50,2.50	10.05,0.86	5
2.50,2.50	4.49,-0.04	5
2.50,2.50	-0.00,2.30	5
2.50,2.50	1.33,5.05	5
2.50,2.50	1.15,-0.10	5
2.50,2.50	3.42,5.06	5
2.50,2.50	10.01,3.53	5
2.50,2.50	3.34,5.01	5
2.50,2.50	6.52,-0.03	5
2.50,2.50	10.08,0.57	5
2.50,2.50	7.97,5.03	5
2.50,2.50	10.00,1.38	5
2.50,2.50	4.17,-0.06	5
2.50,2.50	4.49,5.05	5
2.50,2.50	4.94,5.09	5
2.50,2.50	6.97,5.06	5
2.50,2.50	10.02,0.60	5
2.50,2.50	0.79,-0.06	5
2.50,2.50	3.35,5.10	5
2.50,2.50	5.56,5.05	5
2.50,2.50	1.73,-0.00	5
2.50,2.50	8.79,-0.00	5
2.50,2.50	2.25,5.01	5
2.50,2.50	8.45,5.02	5
2.50,2.50	2.82,5.04	5
2.50,2.50	6.88,-0.08	5
2.50,2.50	2.10,-0.10	5
2.50,2.50	5.25,5.08	5
2.50,2.50	9.07,5.02	5
2.50,2.50	10.06,3.94	5
2.50,2.50	-0.07,1.74	5
2.50,2.50	2.25,-0.00	5
2.50,2.50	-0.04,0.09	5
2.50,2.50	5.00,5.02	5
2.50,2.50	1.33,-0.05	5
2.50,2.50	-0.01,4.88	5
2.50,2.50	10.04,1.71	5
2.50,2.50	9.90,5.04	5
2.50,2.50	5.62,5.08	5
2.50,2.50	5.18,5.05	5
2.50,2.50	2.94,5.06	5
2.50,2.50	0.57,-0.06	5
2.50,2.50	2.33,-0.01	5
2.50,2.50	-0.08,2.47	5
2.50,2.50	8.43,-0.02	5
2.50,2.50	5.48,5.05	5
2.50,2.50	10.06,5.02	6
2.50,2.50	10.10,3.78	5
2.50,2.50	3.00,5.08	5
2.50,2.50	-0.04,0.75	5
2.50,2.50	3.96,5.04	5
2.50,2.50	3.89,-0.04	5
2.50,2.50	0.63,5.02	5
2.50,2.50	6.79,-0.08	5
2.50,2.50	0.50,5.01	5
2.50,2.50	10.00,3.95	5
2.50,2.50	-0.08,2.47	5
2.50,2.50	1.02,5.05	5
2.50,2.50	9.44,5.08	5
2.50,2.50	10.01,4.79	5
2.50,2.50	-0.01,1.61	5
2.50,2.50	7.09,-0.05	5
2.50,2.50	10.05,3.94	5
2.50,2.50	1.83,-0.02	5
2.50,2.50	3.27,5.01	5
2.50,2.50	10.00,2.29	5
2.50,2.50	7.37,-0.01	5
2.50,2.50	-0.01,2.69	5
2.50,2.50	10.01,1.64	5
2.50,2.50	10.10,1.67	5
2.50,2.50	8.57,5.01	5
2.50,2.50	-0.08,2.45	5
2.50,2.50	10.01,1.47	5
2.50,2.50	10.10,1.08	5
2.50,2.50	8.98,5.00	5
2.50,2.50	-0.10,4.97	5
2.50,2.50	10.01,4.66	5
2.50,2.50	5.63,5.08	5
2.50,2.50	4.82,5.09	5
2.50,2.50	0.30,-0.09	5
2.50,2.50	1.16,-0.03	5
2.50,2.50	10.09,1.84	5
2.50,2.50	3.13,5.08	5
2.50,2.50	1.70,-0.03	5
2.50,2.50	7.78,-0.03	5
2.50,2.50	9.43,5.08	5
2.50,2.50	3.70,5.05	5
2.50,2.50	4.93,-0.09	5
2.50,2.50	-0.09,3.47	5
2.50,2.50	7.96,-0.03	5
2.50,2.50	1.33,-0.05	5
2.50,2.50	-0.04,0.64	5
2.50,2.50	7.50,5.01	5
2.50,2.50	10.04,4.19	5
2.50,2.50	3.62,5.00	5
2.50,2.50	10.01,0.17	5
2.50,2.50	-0.06,4.26	5
2.50,2.50	1.84,-0.05	5
2.50,2.50	4.16,5.09	5
2.50,2.50	10.06,2.58	5
2.50,2.50	10.02,1.36	5
2.50,2.50	-0.10,0.70	5
2.50,2.50	-0.08,1.74	5
2.50,2.50	1.38,5.10	5
2.50,2.50	10.10,2.84	5
2.50,2.50	2.74,-0.10	5
2.50,2.50	-0.07,0.59	5
2.50,2.50	-0.06,1.21	5
2.50,2.50	5.84,5.03	5
2.50,2.50	7.26,-0.06	5
2.50,2.50	8.43,5.00	5
2.50,2.50	4.06,5.06	5
2.50,2.50	4.27,5.02	5
2.50,2.50	5.87,5.01	5
2.50,2.50	1.95,5.10	5
2.50,2.50	-0.02,1.62	5
2.50,2.50	8.46,-0.03	5
2.50,2.50	3.34,5.07	5
2.50,2.50	0.77,-0.09	5
2.50,2.50	10.06,4.12	5
2.50,2.50	8.37,5.00	5
2.50,2.50	6.84,5.05	5
2.50,2.50	9.35,-0.09	5
2.50,2.50	8.48,5.05	5
2.50,2.50	-0.05,0.41	5
2.50,2.50	2.48,5.10	5
2.50,2.50	10.04,1.51	5
2.50,2.50	-0.02,3.37	5
2.50,2.50	0.51,-0.05	5
2.50,2.50	5.87,5.01	5
2.50,2.50	10.03,2.42	5
2.50,2.50	8.33,-0.06	5
2.50,2.50	0.64,-0.04	5
2.50,2.50	7.75,-0.04	5
2.50,2.50	8.06,-0.06	5
2.50,2.50	9.40,5.09	5
2.50,2.50	10.10,3.01	5
2.50,2.50	10.05,0.94	5
2.50,2.50	0.34,5.07	5
2.50,2.50	3.74,-0.01	5
2.50,2.50	10.07,1.38	5
2.50,2.50	5.48,5.05	5
2.50,2.50	10.06,0.93	5
2.50,2.50	7.83,5.01	5
2.50,2.50	-0.02,1.64	5
2.50,2.50	8.91,5.04	5
2.50,2.50	4.78,5.05	5
2.50,2.50	-0.01,1.43	5
2.50,2.50	8.71,5.01	5
2.50,2.50	10.04,2.80	5
2.50,2.50	10.10,3.33	5
2.50,2.50	3.73,5.05	5
2.50,2.50	-0.05,0.69	5
2.50,2.50	10.09,0.43	5
2.50,2.50	-0.05,0.69	5
2.50,2.50	-0.02,1.83	5
2.50,2.50	10.05,0.24	5
2.50,2.50	-0.03,1.03	5
2.50,2.50	10.01,4.40	5
2.50,2.50	1.84,-0.06	5
2.50,2.50	2.24,5.01	5
2.50,2.50	2.12,5.10	5
2.50,2.50	6.50,5.04	5
2.50,2.50	6.28,-0.07	5
2.50,2.50	-0.02,1.16	5
2.50,2.50	3.20,-0.07	5
2.50,2.50	9.85,-0.05	5
2.50,2.50	0.93,-0.03	5
2.50,2.50	6.62,5.09	5
2.50,2.50	0.77,5.05	5
2.50,2.50	2.92,-0.05	5
2.50,2.50	9.98,-0.03	5
2.50,2.50	5.69,-0.04	5
2.50,2.50	0.36,-0.01	5
2.50,2.50	4.22,5.09	5
2.50,2.50	3.62,-0.00	5
2.50,2.50	6.01,5.01	5
2.50,2.50	1.63,5.03	5
2.50,2.50	2.69,-0.03	5
2.50,2.50	1.17,-0.05	5
2.50,2.50	10.01,2.34	5
2.50,2.50	6.27,-0.03	5
2.50,2.50	9.58,-0.02	5
2.50,2.50	10.02,0.02	5
2.50,2.50	10.04,3.27	5
2.50,2.50	0.20,5.07	5
2.50,2.50	10.01,0.23	5
2.50,2.50	-0.07,2.18	5
2.50,2.50	-0.02,1.15	5
2.50,2.50	1.70,5.03	5
2.50,2.50	7.25,-0.02	5
2.50,2.50	-0.06,4.98	5
2.50,2.50	-0.01,1.30	5
2.50,2.50	-0.03,0.08	5
2.50,2.50	0.92,5.02	5
2.50,2.50	6.90,-0.07	5
2.50,2.50	7.84,5.00	5
2.50,2.50	7.63,5.03	5
2.50,2.50	4.83,5.09	5
2.50,2.50	-0.02,1.05	5
2.50,2.50	8.26,5.07	5
2.50,2.50	0.48,-0.01	5
2.50,2.50	-0.10,2.44	5
2.50,2.50	8.43,5.01	5
2.50,2.50	10.02,2.34	5
2.50,2.50	5.33,-0.08	5
2.50,2.50	6.10,-0.00	5
2.50,2.50	1.42,-0.00	5
2.50,2.50	0.88,5.01	5
2.50,2.50	2.69,-0.02	5
2.50,2.50	10.08,3.36	5
2.50,2.50	10.01,3.53	5
2.50,2.50	10.07,3.71	5
2.50,2.50	1.45,-0.10	5
2.50,2.50	-0.02,4.92	5
2.50,2.50	3.34,5.03	5
2.50,2.50	-0.07,4.41	5
2.50,2.50	7.57,5.02	5
2.50,2.50	1.39,-0.10	5
2.50,2.50	10.10,3.76	5
2.50,2.50	1.96,5.02	5
2.50,2.50	4.55,-0.01	5
2.50,2.50	4.49,5.04	5
2.50,2.50	-0.02,0.12	5
2.50,2.50	4.47,-0.01	5
2.50,2.50	2.67,5.04	5
2.50,2.50	1.30,-0.10	5
2.50,2.50	9.29,-0.09	5
2.50,2.50	7.30,5.04	5
2.50,2.50	3.31,-0.10	5
2.50,2.50	10.06,1.47	5
2.50,2.50	-0.08,0.81	5
2.50,2.50	9.99,5.08	5
2.50,2.50	6.51,5.03	5
2.50,2.50	5.71,-0.04	5
2.50,2.50	9.71,-0.05	5
2.50,2.50	10.02,4.60	5
2.50,2.50	-0.00,3.58	5
2.50,2.50	6.88,5.08	5
2.50,2.50	4.45,-0.01	5
2.50,2.50	8.93,5.01	5
2.50,2.50	4.91,5.02	5
2.50,2.50	0.38,5.09	5
2.50,2.50	8.08,5.02	5
2.50,2.50	10.06,0.15	5
2.50,2.50	-0.06,0.58	5
2.50,2.50	2.84,5.00	5
2.50,2.50	-0.09,4.38	5
2.50,2.50	10.10,3.11	5
2.50,2.50	10.04,2.66	5
2.50,2.50	10.10,2.05	5
2.50,2.50	6.22,-0.00	5
2.50,2.50	10.08,2.04	5
2.50,2.50	6.29,5.07	5
2.50,2.50	6.25,5.07	5
2.50,2.50	6.11,-0.01	5
2.50,2.50	-0.06,0.58	5
2.50,2.50	7.68,-0.04	5
2.50,2.50	4.07,5.03	5
2.50,2.50	-0.07,2.34	5
2.50,2.50	2.33,-0.05	5
2.50,2.50	2.25,-0.02	5
2.50,2.50	10.02,3.73	5
2.50,2.50	1.32,-0.04	5
2.50,2.50	-0.10,2.38	5
2.50,2.50	6.26,5.07	5
2.50,2.50	10.10,2.81	5
2.50,2.50	2.58,5.10	5
2.50,2.50	2.81,-0.09	5
2.50,2.50	10.02,3.54	5
2.50,2.50	9.67,-0.01	5
2.50,2.50	-0.02,5.07	6
2.50,2.50	10.02,4.86	5
2.50,2.50	6.10,-0.02	5
2.50,2.50	0.65,5.06	5
2.50,2.50	8.32,-0.06	5
2.50,2.50	1.70,5.03	5
2.50,2.50	3.42,-0.06	5
2.50,2.50	2.02,5.03	5
2.50,2.50	5.55,5.08	5
2.50,2.50	0.22,5.05	5
2.50,2.50	2.43,-0.00	5
2.50,2.50	0.93,5.06	5
2.50,2.50	10.07,3.49	5
2.50,2.50	10.02,4.73	5
2.50,2.50	2.14,5.01	5
2.50,2.50	-0.01,3.79	5
2.50,2.50	3.06,-0.07	5
2.50,2.50	3.64,-0.05	5
2.50,2.50	10.06,1.67	5
2.50,2.50	10.07,4.79	5
2.50,2.50	3.35,5.10	5
2.50,2.50	-0.05,2.90	5
2.50,2.50	10.03,0.35	5
2.50,2.50	6.01,5.04	5
2.50,2.50	-0.07,0.60	5
2.50,2.50	7.14,-0.03	5
2.50,2.50	3.07,-0.07	5
2.50,2.50	3.96,-0.09	5
2.50,2.50	-0.02,4.10	5
2.50,2.50	9.47,5.09	5
2.50,2.50	7.08,-0.06	5
2.50,2.50	9.59,5.00	5
2.50,2.50	10.05,0.87	5
2.50,2.50	2.69,5.10	5
2.50,2.50	1.79,5.03	5
2.50,2.50	0.37,-0.03	5
2.50,2.50	10.07,2.96	5
2.50,2.50	10.01,3.52	5
2.50,2.50	10.02,2.59	5
2.50,2.50	10.05,1.67	5
2.50,2.50	0.88,5.01	5
2.50,2.50	0.63,-0.03	5
2.50,2.50	3.17,-0.01	5
2.50,2.50	8.41,-0.09	5
2.50,2.50	7.28,-0.05	5
2.50,2.50	10.01,4.77	5
2.50,2.50	-0.03,4.08	5
2.50,2.50	0.01,-0.07	5
2.50,2.50	5.18,5.01	5
2.50,2.50	4.23,-0.05	5
2.50,2.50	5.69,-0.00	5
2.50,2.50	9.90,-0.03	5
2.50,2.50	-0.08,2.37	5
2.50,2.50	10.01,2.66	5
2.50,2.50	1.02,5.09	5
2.50,2.50	7.59,-0.00	5
2.50,2.50	8.69,-0.01	5
2.50,2.50	-0.01,1.29	5
2.50,2.50	0.49,5.06	5
2.50,2.50	6.93,5.05	5
2.50,2.50	9.54,-0.08	5
2.50,2.50	10.03,4.43	5
2.50,2.50	-0.08,2.04	5
2.50,2.50	-0.04,0.09	5
2.50,2.50	3.26,-0.07	5
2.50,2.50	10.10,3.65	5
2.50,2.50	2.93,5.09	5
2.50,2.50	10.04,0.69	5
2.50,2.50	6.03,-0.05	5
2.50,2.50	9.58,5.06	5
2.50,2.50	6.51,5.03	5
2.50,2.50	0.51,5.06	5
2.50,2.50	10.01,4.85	5
2.50,2.50	-0.10,0.14	5
2.50,2.50	5.77,5.07	5
2.50,2.50	4.08,-0.01	5
2.50,2.50	3.27,-0.03	5
2.50,2.50	-0.05,2.75	5
2.50,2.50	10.01,2.44	5
2.50,2.50	-0.07,4.41	5
2.50,2.50	2.14,5.01	5
2.50,2.50	10.01,4.49	5
2.50,2.50	0.51,-0.04	5
2.50,2.50	10.02,1.57	5
2.50,2.50	8.74,-0.01	5
2.50,2.50	10.06,2.50	5
2.50,2.50	10.03,2.30	5
2.50,2.50	2.31,5.01	5
2.50,2.50	7.09,5.05	5
2.50,2.50	5.12,-0.04	5
2.50,2.50	7.16,-0.05	5
2.50,2.50	4.87,5.09	5
2.50,2.50	-0.03,3.95	5
2.50,2.50	10.10,0.89	5
2.50,2.50	9.70,5.07	5
2.50,2.50	8.57,5.05	5
2.50,2.50	-0.07,1.85	5
2.50,2.50	8.71,5.03	5
2.50,2.50	0.89,5.05	5
2.50,2.50	2.65,-0.10	5
2.50,2.50	6.09,-0.02	5
2.50,2.50	10.01,3.90	5
2.50,2.50	5.85,-0.07	5
2.50,2.50	0.98,5.09	5
2.50,2.50	8.03,-0.05	5
2.50,2.50	10.01,3.52	5
2.50,2.50	-0.07,1.56	5
2.50,2.50	4.47,-0.01	5
2.50,2.50	1.62,-0.10	5
2.50,2.50	7.76,-0.04	5
2.50,2.50	-0.05,2.25	5
2.50,2.50	-0.02,3.95	5
2.50,2.50	6.01,5.01	5
2.50,2.50	-0.08,0.24	5
2.50,2.50	4.41,5.09	5
2.50,2.50	-0.10,1.64	5
2.50,2.50	-0.03,0.93	5
2.50,2.50	0.26,-0.09	5
2.50,2.50	6.08,-0.02	5
2.50,2.50	0.35,-0.07	5
2.50,2.50	-0.06,0.12	5
2.50,2.50	4.80,5.09	5
2.50,2.50	7.27,5.05	5
2.50,2.50	3.80,-0.00	5
2.50,2.50	2.08,-0.03	5
2.50,2.50	10.03,3.98	5
2.50,2.50	7.36,5.01	5
2.50,2.50	-0.01,1.43	5
2.50,2.50	10.05,1.45	5
2.50,2.50	10.01,2.53	5
2.50,2.50	7.72,-0.00	5
2.50,2.50	7.76,5.03	5
2.50,2.50	-0.01,3.57	5
2.50,2.50	0.19,5.07	5
2.50,2.50	10.02,0.41	5
2.50,2.50	0.92,5.09	5
2.50,2.50	10.10,1.36	5
2.50,2.50	6.86,-0.09	5
2.50,2.50	0.50,5.06	5
2.50,2.50	0.77,-0.05	5
2.50,2.50	7.16,5.05	5
2.50,2.50	8.17,-0.02	5
2.50,2.50	-0.08,4.19	5
2.50,2.50	4.19,5.09	5
2.50,2.50	7.74,-0.04	5
2.50,2.50	2.93,5.08	5
2.50,2.50	3.65,-0.05	5
2.50,2.50	1.55,-0.01	5
2.50,2.50	5.73,-0.08	5
2.50,2.50	-0.03,3.03	5
2.50,2.50	-0.02,1.63	5
2.50,2.50	10.02,2.34	5
2.50,2.50	-0.05,2.42	5
2.50,2.50	2.67,5.05	5
2.50,2.50	-0.06,0.57	5
2.50,2.50	8.91,5.04	5
2.50,2.50	2.20,5.10	5
2.50,2.50	8.03,5.03	5
2.50,2.50	5.16,5.04	5
2.50,2.50	10.00,3.45	5
2.50,2.50	-0.07,3.44	5
2.50,2.50	0.29,-0.09	5
2.50,2.50	7.51,-0.02	5
2.50,2.50	-0.07,1.60	5
2.50,2.50	4.28,-0.08	5
2.50,2.50	10.04,0.84	5
2.50,2.50	1.72,5.10	5
2.50,2.50	10.04,2.66	5
2.50,2.50	6.52,-0.03	5
2.50,2.50	10.08,1.92	5
2.50,2.50	10.00,1.45	5
2.50,2.50	10.01,3.58	5
2.50,2.50	1.33,5.05	5
2.50,2.50	0.01,5.08	5
2.50,2.50	3.65,5.05	5
2.50,2.50	-0.01,3.57	5
2.50,2.50	8.33,-0.02	5
2.50,2.50	7.99,5.00	5
2.50,2.50	4.55,-0.00	5
2.50,2.50	0.84,5.06	5
2.50,2.50	10.01,2.43	5
2.50,2.50	10.05,1.05	5
2.50,2.50	-0.04,3.20	5
2.50,2.50	10.07,3.66	5
2.50,2.50	5.93,-0.00	5
2.50,2.50	10.00,0.32	5
2.50,2.50	7.17,-0.01	5
2.50,2.50	9.43,-0.08	5
2.50,2.50	1.33,5.05	5
2.50,2.50	-0.09,0.63	5
2.50,2.50	2.82,-0.03	5
2.50,2.50	7.45,-0.01	5
2.50,2.50	10.00,1.64	5
2.50,2.50	6.66,-0.06	5
2.50,2.50	5.86,5.07	5
2.50,2.50	8.44,-0.03	5
2.50,2.50	-0.02,3.17	5
2.50,2.50	10.08,1.56	5
2.50,2.50	6.27,5.03	5
2.50,2.50	1.47,5.10	5
2.50,2.50	9.32,5.04	5
2.50,2.50	1.96,-0.02	5
2.50,2.50	8.09,-0.08	5
2.50,2.50	1.99,5.10	5
2.50,2.50	-0.08,0.81	5
2.50,2.50	7.20,-0.05	5
2.50,2.50	9.55,5.00	5
2.50,2.50	-0.10,1.71	5
2.50,2.50	1.45,-0.04	5
2.50,2.50	7.94,-0.06	5
2.50,2.50	4.35,-0.02	5
2.50,2.50	10.04,1.06	5
2.50,2.50	9.86,-0.07	5
2.50,2.50	-0.03,2.82	5
2.50,2.50	-0.04,3.20	5
2.50,2.50	5.82,5.03	5
2.50,2.50	-0.08,2.50	5
2.50,2.50	10.05,1.15	5
2.50,2.50	-0.03,4.13	5
2.50,2.50	8.11,5.08	5
2.50,2.50	-0.02,1.30	5
2.50,2.50	10.01,4.82	5
2.50,2.50	9.63,5.06	5
2.50,2.50	7.23,5.05	5
2.50,2.50	10.03,2.11	5
2.50,2.50	7.94,-0.06	5
2.50,2.50	4.17,5.02	5
2.50,2.50	2.08,-0.03	5
2.50,2.50	5.68,5.04	5
2.50,2.50	4.79,-0.01	5
2.50,2.50	5.18,-0.01	5
2.50,2.50	-0.00,3.58	5
2.50,2.50	-0.05,0.35	5
2.50,2.50	8.13,-0.02	5
2.50,2.50	-0.03,3.03	5
2.50,2.50	4.27,5.08	5
2.50,2.50	6.25,-0.03	5
2.50,2.50	8.47,5.06	5
2.50,2.50	10.07,3.66	5
2.50,2.50	0.66,5.09	5
2.50,2.50	9.97,5.08	5
2.50,2.50	-0.09,3.77	5
2.50,2.50	4.24,-0.09	5
2.50,2.50	9.36,5.09	5
2.50,2.50	0.94,-0.07	5
2.50,2.50	9.69,-0.07	5
2.50,2.50	7.18,5.01	5
2.50,2.50	8.49,5.02	5
2.50,2.50	8.47,5.03	5
2.50,2.50	5.23,5.08	5
2.50,2.50	7.90,-0.05	5
2.50,2.50	-0.07,3.79	5
2.50,2.50	10.08,0.67	5
2.50,2.50	9.21,-0.10	5
2.50,2.50	8.35,5.01	5
2.50,2.50	8.58,-0.05	5
2.50,2.50	5.05,5.08	5
2.50,2.50	8.69,-0.04	5
2.50,2.50	10.01,0.32	5
2.50,2.50	10.02,2.24	5
2.50,2.50	-0.04,4.32	5
2.50,2.50	6.94,5.05	5
2.50,2.50	8.13,5.02	5
2.50,2.50	9.11,5.01	5
2.50,2.50	10.06,4.29	5
2.50,2.50	6.61,5.06	5
2.50,2.50	9.26,-0.04	5
2.50,2.50	6.72,5.07	5
2.50,2.50	6.62,-0.09	5
2.50,2.50	7.87,5.05	5
2.50,2.50	-0.02,3.82	5
2.50,2.50	10.10,4.20	5
2.50,2.50	5.92,5.00	5
2.50,2.50	8.41,5.00	5
